index,abs_error_float,abs_error_lsb
357,0.00207015,0.529958
358,0.00006790,0.017382
359,0.00033720,0.086322
360,0.00097141,0.248681
361,0.00009882,0.025297
362,0.00168488,0.431329
363,0.00112049,0.286847
364,0.00249577,0.638917
365,0.00073521,0.188215
366,0.00026998,0.069115
367,0.00032552,0.083334
368,0.00139779,0.357835
369,0.00172714,0.442148
370,0.00128947,0.330104
371,0.00132969,0.340402
372,0.00149652,0.383108
373,0.00115136,0.294747
374,0.00279504,0.715530
375,0.00011841,0.030313
376,0.00091304,0.233739
377,0.00061695,0.157938
378,0.00018531,0.047439
379,0.00079767,0.204204
380,0.00151011,0.386588
381,0.00120600,0.308736
382,0.00120152,0.307589
383,0.00253056,0.647824
384,0.00027278,0.069833
385,0.00089187,0.228318
386,0.00272367,0.697261
387,0.00228568,0.585135
388,0.00284429,0.728140
389,0.00064391,0.164842
390,0.00383966,0.982954
391,0.00115184,0.294871
392,0.00013199,0.033790
393,0.00060837,0.155743
394,0.00237615,0.608295
395,0.00100947,0.258424
396,0.00003622,0.009272
397,0.00005871,0.015029
398,0.00040504,0.103691
399,0.00058072,0.148664
400,0.00337367,0.863660
401,0.00132690,0.339686
402,0.00038493,0.098543
403,0.00197319,0.505137
404,0.00001758,0.004500
405,0.00006493,0.016623
406,0.00157863,0.404129
407,0.00064875,0.166080
408,0.00012125,0.031041
409,0.00245528,0.628550
410,0.00014438,0.036961
411,0.00188551,0.482689
412,0.00145453,0.372358
413,0.00176007,0.450577
414,0.00212013,0.542753
415,0.00182327,0.466756
416,0.00160331,0.410449
417,0.00110594,0.283122
418,0.00278200,0.712192
419,0.00088718,0.227117
420,0.00087274,0.223420
421,0.00180138,0.461153
422,0.00041221,0.105527
423,0.00011020,0.028212
424,0.00108656,0.278160
425,0.00032820,0.084018
426,0.00207319,0.530736
427,0.00119350,0.305535
428,0.00322129,0.824651
429,0.00067988,0.174050
430,0.00056484,0.144599
431,0.00058169,0.148911
432,0.00142818,0.365614
433,0.00219605,0.562189
434,0.00125965,0.322471
435,0.00129786,0.332251
436,0.00114832,0.293969
437,0.00062658,0.160405
438,0.00273938,0.701282
439,0.00012764,0.032675
440,0.00072771,0.186295
441,0.00032945,0.084340
442,0.00028192,0.072171
443,0.00115818,0.296493
444,0.00172084,0.440534
445,0.00132929,0.340298
446,0.00150309,0.384791
447,0.00194760,0.498585
448,0.00018004,0.046090
449,0.00140773,0.360379
450,0.00251896,0.644854
451,0.00237408,0.607764
452,0.00254464,0.651428
453,0.00033913,0.086816
454,0.00399923,1.023802
455,0.00159788,0.409056
456,0.00032294,0.082674
457,0.00125522,0.321336
458,0.00231559,0.592790
459,0.00069282,0.177362
460,0.00023116,0.059176
461,0.00064932,0.166226
462,0.00024401,0.062468
463,0.00104603,0.267784
464,0.00382745,0.979827
465,0.00103051,0.263809
466,0.00025288,0.064739
467,0.00159780,0.409037
468,0.00025607,0.065555
469,0.00047385,0.121307
470,0.00129838,0.332385
471,0.00077172,0.197560
472,0.00006286,0.016093
473,0.00257931,0.660304
474,0.00071367,0.182698
475,0.00188754,0.483211
476,0.00108330,0.277324
477,0.00165860,0.424602
478,0.00196914,0.504099
479,0.00207571,0.531382
480,0.00141938,0.363362
481,0.00046129,0.118090
482,0.00282230,0.722508
483,0.00026140,0.066918
484,0.00094490,0.241894
485,0.00229159,0.586647
486,0.00035182,0.090066
487,0.00041938,0.107362
488,0.00111995,0.286708
489,0.00010798,0.027644
490,0.00179373,0.459196
491,0.00134859,0.345239
492,0.00255112,0.653087
493,0.00061658,0.157845
494,0.00022930,0.058702
495,0.00044735,0.114523
496,0.00088871,0.227510
497,0.00188601,0.482818
498,0.00125392,0.321004
499,0.00120637,0.308830
500,0.00161473,0.413371
501,0.00094638,0.242274
502,0.00307413,0.786977
503,0.00004582,0.011729
504,0.00078112,0.199968
505,0.00078983,0.202196
506,0.00032182,0.082387
507,0.00084275,0.215743
508,0.00131149,0.335742
509,0.00127260,0.325787
510,0.00096378,0.246728
511,0.00254117,0.650539
512,0.00011875,0.030401
513,0.00090871,0.232630
514,0.00280230,0.717389
515,0.00260292,0.666348
516,0.00305313,0.781602
517,0.00058408,0.149524
518,0.00416705,1.066764
519,0.00149640,0.383079
520,0.00043926,0.112450
521,0.00086006,0.220177
522,0.00205507,0.526098
523,0.00089636,0.229469
524,0.00076572,0.196025
525,0.00069499,0.177918
526,0.00019101,0.048900
527,0.00071998,0.184315
528,0.00390473,0.999612
529,0.00106239,0.271972
530,0.00024483,0.062677
531,0.00180825,0.462911
532,0.00041214,0.105507
533,0.00009491,0.024297
534,0.00146679,0.375498
535,0.00116006,0.296976
536,0.00020370,0.052147
537,0.00272868,0.698543
538,0.00027822,0.071225
539,0.00190821,0.488503
540,0.00121650,0.311424
541,0.00142562,0.364958
542,0.00195094,0.499441
543,0.00209495,0.536307
544,0.00194767,0.498603
545,0.00115643,0.296045
546,0.00303744,0.777584
547,0.00130653,0.334471
548,0.00080261,0.205467
549,0.00184447,0.472185
550,0.00016260,0.041625
551,0.00021833,0.055891
552,0.00098961,0.253339
553,0.00000126,0.000322
554,0.00176888,0.452834
555,0.00121633,0.311381
556,0.00279503,0.715529
557,0.00058810,0.150554
558,0.00024946,0.063861
559,0.00061850,0.158335
560,0.00164350,0.420736
561,0.00157856,0.404112
562,0.00150868,0.386222
563,0.00171049,0.437887
